id,loan_approval
7933,1
101860,1
62580,1
1760,1
48008,1
9308,1
27862,1
87760,1
53334,1
72303,1
63146,1
36604,1
39206,1
50474,1
1660,1
67950,1
74349,1
96978,1
103963,1
22864,1
104188,1
52124,1
26981,1
101249,1
60994,1
54048,1
23152,1
87609,1
1645,1
32215,1
8457,1
35286,1
2664,1
24630,1
1034,1
86936,1
4673,1
60383,1
17295,1
56597,1
76783,1
45203,1
31872,1
99848,1
76925,1
40341,1
64496,1
10570,1
18661,1
13349,1
82216,1
97609,1
75684,1
90470,1
68891,1
84265,1
76082,1
65249,1
26309,1
6316,1
61423,1
45925,1
44881,1
98670,1
86874,1
36521,1
105253,1
70144,1
66290,1
25249,1
33328,1
102791,1
33738,1
14880,1
23577,1
71673,1
18267,1
91413,1
722,1
25533,1
74993,1
10577,1
56706,1
102511,1
31788,1
22955,1
17906,1
26366,1
28918,1
12485,1
97060,1
90980,1
48602,1
74330,1
37480,1
73825,1
6992,1
7726,1
35991,1
16781,1
89629,1
92804,1
69162,1
26166,1
88287,1
42483,1
71127,1
46995,1
16468,1
71191,1
11370,1
32933,1
1299,1
72209,1
78129,1
4278,1
24759,1
49737,1
90044,1
56084,1
98905,1
97111,1
3656,1
91114,1
10241,1
5097,1
9811,1
35136,1
41857,1
52546,1
74687,1
8411,1
17167,1
99534,1
64382,1
11216,1
8373,1
89549,1
97119,1
13939,1
21850,1
66529,1
66342,1
35593,1
43466,1
90106,1
86147,1
74540,1
5728,1
79732,1
22374,1
90737,1
24558,1
90275,1
69613,1
53741,1
7927,1
46681,1
14641,1
11516,1
39058,1
104000,1
28216,1
90578,1
47205,1
82203,1
13999,1
43071,1
46242,1
52968,1
25520,1
88227,1
20699,1
44400,1
15859,1
57865,1
39734,1
72286,1
51383,1
12652,1
51130,1
97918,1
32955,1
77753,1
27149,1
46723,1
79096,1
2826,1
34486,1
103084,1
95783,1
66097,1
93310,1
93085,1
12516,1
61607,1
74798,1
27939,1
16338,1
31171,1
96613,1
39898,1
