id,loan_approval
5,1
26,1
36,1
46,1
65,1
67,1
68,1
98,1
102,1
132,1
162,1
175,1
176,1
178,1
211,1
231,1
234,1
242,1
295,1
310,1
373,1
416,1
425,1
452,1
463,1
519,1
569,1
580,1
587,1
691,1
722,1
728,1
743,1
782,1
790,1
807,1
824,1
852,1
868,1
913,1
923,1
926,1
935,1
946,1
967,1
1010,1
1035,1
1104,1
1127,1
1128,1
1153,1
1175,1
1229,1
1247,1
1248,1
1294,1
1315,1
1324,1
1363,1
1369,1
1376,1
1379,1
1382,1
1392,1
1400,1
1451,1
1467,1
1486,1
1525,1
1532,1
1582,1
1584,1
1586,1
1598,1
1617,1
1656,1
1657,1
1660,1
1705,1
1712,1
1738,1
1739,1
1747,1
1765,1
1775,1
1783,1
1791,1
1797,1
1815,1
1869,1
1890,1
1905,1
1906,1
1954,1
1990,1
1994,1
2006,1
2015,1
2024,1
2056,1
2067,1
2068,1
2100,1
2152,1
2158,1
2162,1
2187,1
2190,1
2198,1
2200,1
2221,1
2230,1
2241,1
2250,1
2306,1
2310,1
2326,1
2337,1
2344,1
2370,1
2393,1
2402,1
2409,1
2465,1
2470,1
2492,1
2502,1
2517,1
2523,1
2560,1
2565,1
2567,1
2602,1
2615,1
2645,1
2649,1
2667,1
2676,1
2687,1
2690,1
2698,1
2699,1
2708,1
2714,1
2752,1
2768,1
2834,1
2846,1
2850,1
2855,1
2864,1
2883,1
2977,1
2982,1
3012,1
3026,1
3054,1
3071,1
3072,1
3111,1
3115,1
3123,1
3129,1
3163,1
3187,1
3220,1
3239,1
3267,1
3296,1
3315,1
3321,1
3331,1
3350,1
3386,1
3398,1
3402,1
3417,1
3419,1
3422,1
3434,1
3485,1
3505,1
3531,1
3533,1
3609,1
3618,1
3636,1
3641,1
3650,1
3656,1
3689,1
3723,1
3725,1
3727,1
3737,1
3792,1
3807,1
3811,1
3820,1
3844,1
3868,1
3877,1
3910,1
3918,1
3930,1
3958,1
3985,1
3987,1
4003,1
4033,1
4038,1
4079,1
4085,1
4096,1
4123,1
4125,1
4190,1
4215,1
4231,1
4242,1
4303,1
4325,1
4330,1
4336,1
4365,1
4379,1
4385,1
4398,1
4410,1
4412,1
4461,1
4465,1
4483,1
4522,1
4562,1
4572,1
4602,1
4610,1
4626,1
4649,1
4699,1
4708,1
4711,1
4721,1
4723,1
4737,1
4743,1
4750,1
4788,1
4789,1
4797,1
4809,1
4817,1
4822,1
4959,1
4976,1
5007,1
5015,1
5022,1
5038,1
5039,1
5044,1
5082,1
5088,1
5095,1
5096,1
5098,1
5100,1
5103,1
5107,1
5124,1
5127,1
5180,1
5196,1
5214,1
5231,1
5235,1
5277,1
5288,1
5306,1
5338,1
5371,1
5392,1
5397,1
5406,1
5408,1
5439,1
5456,1
5490,1
5519,1
5544,1
5571,1
5578,1
5585,1
5597,1
5621,1
5643,1
5693,1
5706,1
5736,1
5799,1
5829,1
5832,1
5841,1
5842,1
5884,1
5886,1
5912,1
5915,1
5918,1
5927,1
5930,1
5934,1
6011,1
6028,1
6044,1
6078,1
6087,1
6150,1
6154,1
6158,1
6165,1
6174,1
6180,1
6190,1
6212,1
6236,1
6253,1
6295,1
6299,1
6369,1
6463,1
6480,1
6490,1
6507,1
6527,1
6538,1
6552,1
6557,1
6559,1
6566,1
6571,1
6595,1
6600,1
6619,1
6625,1
6634,1
6643,1
6656,1
6699,1
6714,1
6728,1
6743,1
6744,1
6816,1
6850,1
6925,1
6928,1
6992,1
7012,1
7035,1
7053,1
7089,1
7107,1
7111,1
7114,1
7127,1
7141,1
7150,1
7152,1
7159,1
7162,1
7191,1
7203,1
7207,1
7218,1
7231,1
7258,1
7290,1
7354,1
7385,1
7404,1
7406,1
7424,1
7442,1
7458,1
7462,1
7475,1
7496,1
7497,1
7526,1
7558,1
7582,1
7624,1
7639,1
7654,1
7681,1
7685,1
7700,1
7706,1
7720,1
7726,1
7728,1
7759,1
7792,1
7793,1
7798,1
7801,1
7804,1
7837,1
7889,1
7911,1
7919,1
7921,1
7939,1
7948,1
7961,1
8004,1
8005,1
8013,1
8083,1
8089,1
8100,1
8114,1
8154,1
8169,1
8172,1
8187,1
8214,1
8224,1
8240,1
8242,1
8287,1
8294,1
8324,1
8341,1
8370,1
8402,1
8418,1
8441,1
8459,1
8514,1
8552,1
8556,1
8567,1
8589,1
8621,1
8633,1
8674,1
8706,1
8732,1
8736,1
8770,1
8781,1
8799,1
8801,1
8819,1
8821,1
8823,1
8875,1
8889,1
8894,1
8898,1
8900,1
8932,1
8935,1
8957,1
8990,1
9023,1
9040,1
9043,1
9050,1
9071,1
9160,1
9178,1
9181,1
9182,1
9185,1
9195,1
9198,1
9228,1
9231,1
9243,1
9264,1
9285,1
9295,1
9326,1
9343,1
9355,1
9387,1
9396,1
9405,1
9451,1
9473,1
9492,1
9558,1
9572,1
9587,1
9625,1
9631,1
9633,1
9676,1
9681,1
9710,1
9752,1
9791,1
9803,1
9810,1
9846,1
9853,1
9865,1
9872,1
9880,1
9901,1
9908,1
9934,1
9950,1
9965,1
10009,1
10037,1
10043,1
10051,1
10070,1
10086,1
10091,1
10095,1
10099,1
10100,1
10117,1
10162,1
10180,1
10184,1
10216,1
10232,1
10268,1
10277,1
10281,1
10289,1
10312,1
10380,1
10411,1
10471,1
10517,1
10535,1
10541,1
10564,1
10566,1
10602,1
10604,1
10616,1
10641,1
10653,1
10675,1
10686,1
10696,1
10724,1
10726,1
10733,1
10736,1
10840,1
10843,1
10856,1
10866,1
10878,1
10903,1
10917,1
10920,1
10934,1
10942,1
10967,1
11021,1
11043,1
11049,1
11114,1
11119,1
11204,1
11216,1
11223,1
11224,1
11233,1
11274,1
11292,1
11302,1
11304,1
11309,1
11317,1
11323,1
11328,1
11332,1
11338,1
11342,1
11360,1
11366,1
11383,1
11393,1
11397,1
11402,1
11408,1
11427,1
11429,1
11450,1
11451,1
11480,1
11489,1
11499,1
11519,1
11531,1
11553,1
11559,1
11596,1
11603,1
11604,1
11605,1
11621,1
11633,1
11648,1
11662,1
11705,1
11707,1
11723,1
11731,1
11737,1
11742,1
11750,1
11760,1
11786,1
11797,1
11801,1
11804,1
11814,1
11864,1
11867,1
11918,1
11920,1
11925,1
11953,1
11971,1
11988,1
11991,1
12018,1
12052,1
12056,1
12109,1
12140,1
12171,1
12180,1
12237,1
12271,1
12292,1
12315,1
12324,1
12349,1
12365,1
12388,1
12405,1
12413,1
12437,1
12477,1
12492,1
12511,1
12556,1
12570,1
12576,1
12589,1
12594,1
12613,1
12624,1
12652,1
12736,1
12774,1
12781,1
12805,1
12809,1
12811,1
12832,1
12842,1
12866,1
12874,1
12887,1
12890,1
12913,1
12925,1
12932,1
12941,1
12970,1
13074,1
13078,1
13167,1
13184,1
13190,1
13193,1
13201,1
13217,1
13228,1
13256,1
13289,1
13339,1
13346,1
13349,1
13365,1
13415,1
13438,1
13446,1
13459,1
13466,1
13504,1
13506,1
13538,1
13561,1
